message hex, ciphertext hex
0x02F84B5E60,0x6741D68791
0x6037B5808B,0x3CB9E92042
0x1505B02D41,0x8FB2A10F6C
0x0AF6784B06,0xADFB958C83
0xB2149F641D,0x8640362787
0x8305283728,0x20B6B812B2
0xD4BC1335AC,0xCD72194BDF
0x0DE5DED103,0x7965DDF794
0x3609B7DA85,0x0BB065933F
0xEF23D2B912,0x863B21EB23
0x6B6942CB29,0xC66E25626F
0x866CE7EECC,0x44979BCB24
0xA4D32A6D27,0x1B146B5346
0x39074D0E58,0xE75122498D
0xE828AA3792,0x9B0920C2BF
0x3B07D6E40C,0x007638217E
0xB96FA784CF,0xDE6849AF1A
0x3B842560E5,0x65AA30C53B
0x95C32A6E60,0x396948C62C
0x3E99E51EE2,0xD104266BC9
0xA5A6381293,0xB75079603A
0xA9E869E116,0xD583E8B418
0x421023A87B,0xBC18D4CDB2
0x188FF4B8F6,0x3A17670548
0x5F808F7875,0x98F1183681
0x8CA59825F3,0xAEFB2FDC0A
0xC1E54B2343,0xB0C5BC4FA0
0xCC1C74CD38,0xA3997E0AFD
0x0122BF23F2,0xAE6D53BEB3
0x4B74CC080C,0x6AB3EFDC32
0x0E51523CAA,0x5614ABE553
0x1D120FD1EA,0xCC2814CF9C
0x21E6F5403D,0x8677EF6B23
0x1D3793AECC,0x351CE8D4E6
0xBD6AF10310,0x3FF89C00AD
0x68C41BA695,0x116B4C8D45
0xC725070113,0x8EF26488C2
0xEE164451DD,0x5E983F77A0
0x6C4E3FDAAC,0x341DEA1EE1
0x92D965B8DE,0x5DE3FF2DCF
0x4F54B6E6BA,0xDB92711B80
0x20E092EBDC,0x3951B8C10A
0x09A0CF8393,0xD38B210DBD
0x32A84402B7,0x59B03D4A2C
0x15882081D0,0x7623448DEC
0x21FFD8316E,0x2276BCF610
0x7F5898A59A,0xEB57D62A0D
0xEBD5E70A01,0xA7FEA9E994
0x57929BB890,0x665BF2386F
0x635BD44AA9,0xAD8D103766
0xCFB8B57C9C,0x6715F9328B
0x1C7DEBF979,0xBEA6A08FF5
0x0375C7105E,0x0007C0AC86
0x46A5CA3BD0,0x90D06772D9
0x5D06C74D9C,0x702D305A59
0x100CF28928,0x5F57C60043
0x66187AE86D,0xCE07112B93
0x9BE04FF006,0x3241E1C2C3
0x866048DF5F,0x5F165DAD53
0x1B990A14B4,0x70F30A28DE
0xB07056D788,0x189E3604DA
0xEC30DB7D77,0xA207C49A6D
0xBE4A77641F,0x7B428E52DA
0x1B48963326,0x493F9D68A8
0x9157345BA4,0x761F12E6FE
0xF092A6160C,0x477AF87923
0x1EAE18630F,0x909DFF6F27
0x44135D123A,0x9FD23FB67A
0x7019504FEF,0xD77AEFF0B1
0xE2A6B97D57,0x63C89E72E9
0x92D2754234,0x0AA200D3F7
0x3078D1538F,0x43A250BEA8
0x898D64C1BA,0x717D076A34
0x44AA1A2665,0x4520262006
0x209605E484,0x2E0E18985F
0xD1F994BF89,0xF0B4733B5E
0xF749DC5937,0x2071ED06BB
0x8FCACA1B92,0x199C5A1C15
0x64BFDCC7BF,0xF9BEFCF66E
0x91EE34B0FF,0x6561F186DB
0x54CEC24337,0x0281ED2A32
0x3DD82AB9D1,0x689C2B94B6
0x252A8055E5,0xCB8BFD32FF
0x799C305507,0xEFD347CE8B
0x288F18471D,0x171FAA2F85
0xC58A9BC749,0x1124B91F64
0x050C37905A,0x084D51EAF5
0xD5120A7D9E,0xA09060E0B5
0x0A59009085,0xC05A74F19A
0xC78029E9C6,0x0F64A47838
0x8415099851,0xEAEBF739DD
0xFCB49CF275,0x726DE14C76
0x465F83D9F2,0x38A1584A37
